"uri","name","author_name","author_movement","genre"
"http://dbpedia.org/resource/Partners_in_Crime_(short_story_collection)","Partners in Crime (short story collection)","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Mysterious_Mr_Quin","The Mysterious Mr Quin","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Dragnet_Solar_Pons_et_al.","The Dragnet Solar Pons et al.","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/The_Memoirs_of_Solar_Pons","The Memoirs of Solar Pons","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/The_Original_Text_Solar_Pons_Omnibus_Edition","The Original Text Solar Pons Omnibus Edition","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/Beyond_the_Wall_of_Sleep_(collection)","Beyond the Wall of Sleep (collection)","H. P. Lovecraft","Cosmicism","Essay",""
"http://dbpedia.org/resource/Dracula","Dracula","Bram Stoker","Victorian literature","Gothic fiction",""
"http://dbpedia.org/resource/Dracula","Dracula","Bram Stoker","Victorian literature","Horror fiction",""
"http://dbpedia.org/resource/Beyond_the_Wall_of_Sleep_(collection)","Beyond the Wall of Sleep (collection)","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Dream-Quest_of_Unknown_Kadath","The Dream-Quest of Unknown Kadath","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Harrigan's_File","Harrigan's File","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Lurker_at_the_Threshold","The Lurker at the Threshold","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Lurker_at_the_Threshold","The Lurker at the Threshold","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Night's_Yawning_Peal:_A_Ghostly_Company","Night's Yawning Peal: A Ghostly Company","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Something_Near","Something Near","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Dark_of_the_Moon:_Poems_of_Fantasy_and_the_Macabre","Dark of the Moon: Poems of Fantasy and the Macabre","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/At_the_Mountains_of_Madness","At the Mountains of Madness","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Trail_of_Cthulhu","The Trail of Cthulhu","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Selected_Letters_of_H._P._Lovecraft_II_(1925–1929)","Selected Letters of H. P. Lovecraft II (1925–1929)","H. P. Lovecraft","Cosmicism","Letter (message)",""
"http://dbpedia.org/resource/Understanding_Physics","Understanding Physics","Isaac Asimov","Golden Age of Science Fiction","Non-fiction",""
"http://dbpedia.org/resource/Beyond_the_Wall_of_Sleep_(collection)","Beyond the Wall of Sleep (collection)","H. P. Lovecraft","Cosmicism","Poetry",""
"http://dbpedia.org/resource/Collected_Poems_(H._P._Lovecraft)","Collected Poems (H. P. Lovecraft)","H. P. Lovecraft","Cosmicism","Poetry",""
"http://dbpedia.org/resource/Dark_of_the_Moon:_Poems_of_Fantasy_and_the_Macabre","Dark of the Moon: Poems of Fantasy and the Macabre","August Derleth","Cosmicism","Poetry",""
"http://dbpedia.org/resource/Dangerous_Visions","Dangerous Visions","Harlan Ellison","New Wave science fiction","Science fiction",""
"http://dbpedia.org/resource/I,_Robot","I, Robot","Isaac Asimov","Golden Age of Science Fiction","Science fiction",""
"http://dbpedia.org/resource/Fantastic_Voyage_II:_Destination_Brain","Fantastic Voyage II: Destination Brain","Isaac Asimov","Golden Age of Science Fiction","Science fiction",""
"http://dbpedia.org/resource/Before_the_Golden_Age","Before the Golden Age","Isaac Asimov","Golden Age of Science Fiction","Science fiction",""
"http://dbpedia.org/resource/The_Mixed_Men","The Mixed Men","A. E. van Vogt","Golden Age of Science Fiction","Science fiction",""
"http://dbpedia.org/resource/Nine_Tomorrows","Nine Tomorrows","Isaac Asimov","Golden Age of Science Fiction","Science fiction",""
"http://dbpedia.org/resource/The_Complete_Robot","The Complete Robot","Isaac Asimov","Golden Age of Science Fiction","Science fiction",""
"http://dbpedia.org/resource/Forward_the_Foundation","Forward the Foundation","Isaac Asimov","Golden Age of Science Fiction","Science fiction",""
"http://dbpedia.org/resource/The_Bicentennial_Man_and_Other_Stories","The Bicentennial Man and Other Stories","Isaac Asimov","Golden Age of Science Fiction","Science fiction",""
"http://dbpedia.org/resource/Robot_Dreams","Robot Dreams","Isaac Asimov","Golden Age of Science Fiction","Science fiction",""
"http://dbpedia.org/resource/The_Stars,_Like_Dust","The Stars, Like Dust","Isaac Asimov","Golden Age of Science Fiction","Science fiction",""
"http://dbpedia.org/resource/The_Ugly_Little_Boy","The Ugly Little Boy","Isaac Asimov","Golden Age of Science Fiction","Science fiction",""
"http://dbpedia.org/resource/Beyond_the_Wall_of_Sleep_(collection)","Beyond the Wall of Sleep (collection)","H. P. Lovecraft","Cosmicism","Science fiction",""
"http://dbpedia.org/resource/New_Horizons_(book)","New Horizons (book)","August Derleth","Cosmicism","Science fiction",""
"http://dbpedia.org/resource/Harrigan's_File","Harrigan's File","August Derleth","Cosmicism","Science fiction",""
"http://dbpedia.org/resource/At_the_Mountains_of_Madness","At the Mountains of Madness","H. P. Lovecraft","Cosmicism","Science fiction",""
"http://dbpedia.org/resource/Far_Boundaries","Far Boundaries","August Derleth","Cosmicism","Science fiction",""
"http://dbpedia.org/resource/The_Original_Text_Solar_Pons_Omnibus_Edition","The Original Text Solar Pons Omnibus Edition","August Derleth","Cosmicism","Science fiction",""
"http://dbpedia.org/resource/The_Beast_that_Shouted_Love_at_the_Heart_of_the_World","The Beast that Shouted Love at the Heart of the World","Harlan Ellison","New Wave science fiction","Short story",""
"http://dbpedia.org/resource/The_Deadly_Streets","The Deadly Streets","Harlan Ellison","New Wave science fiction","Short story",""
"http://dbpedia.org/resource/Alone_Against_Tomorrow","Alone Against Tomorrow","Harlan Ellison","New Wave science fiction","Short story",""
"http://dbpedia.org/resource/Stalking_the_Nightmare","Stalking the Nightmare","Harlan Ellison","New Wave science fiction","Short story",""
"http://dbpedia.org/resource/The_Piazza_Tales","The Piazza Tales","Herman Melville","Romanticism","Short story",""
"http://dbpedia.org/resource/Partners_in_Crime_(short_story_collection)","Partners in Crime (short story collection)","Agatha Christie","Golden Age of Detective Fiction","Short story",""
"http://dbpedia.org/resource/The_Mysterious_Mr_Quin","The Mysterious Mr Quin","Agatha Christie","Golden Age of Detective Fiction","Short story",""
"http://dbpedia.org/resource/The_Clocks","The Clocks","Agatha Christie","Golden Age of Detective Fiction","Spy fiction",""
"http://dbpedia.org/resource/Passenger_to_Frankfurt","Passenger to Frankfurt","Agatha Christie","Golden Age of Detective Fiction","Spy fiction",""
"http://dbpedia.org/resource/The_House_of_the_Dead_(novel)","The House of the Dead (novel)","Fyodor Dostoyevsky","Literary realism","Autobiographical novel",""
"http://dbpedia.org/resource/The_Piazza_Tales","The Piazza Tales","Herman Melville","Romanticism","Literary fiction",""
"http://dbpedia.org/resource/The_Stars,_Like_Dust","The Stars, Like Dust","Isaac Asimov","Golden Age of Science Fiction","Whodunit",""
"http://dbpedia.org/resource/At_the_Mountains_of_Madness","At the Mountains of Madness","H. P. Lovecraft","Cosmicism","Lost World (genre)",""
"http://dbpedia.org/resource/Moby-Dick","Moby-Dick","Herman Melville","Romanticism","Epic (genre)",""
"http://dbpedia.org/resource/Puzzles_of_the_Black_Widowers","Puzzles of the Black Widowers","Isaac Asimov","Golden Age of Science Fiction","Mystery fiction",""
"http://dbpedia.org/resource/Madame_Bovary","Madame Bovary","Gustave Flaubert","Romanticism","Literary realism",""
"http://dbpedia.org/resource/Madame_Bovary","Madame Bovary","Gustave Flaubert","Realism (arts)","Literary realism",""
"http://dbpedia.org/resource/Sentimental_Education","Sentimental Education","Gustave Flaubert","Romanticism","Realism (arts)",""
"http://dbpedia.org/resource/Sentimental_Education","Sentimental Education","Gustave Flaubert","Realism (arts)","Realism (arts)",""
"http://dbpedia.org/resource/Unfinished_Portrait_(novel)","Unfinished Portrait (novel)","Agatha Christie","Golden Age of Detective Fiction","Tragedy",""
"http://dbpedia.org/resource/Absent_in_the_Spring","Absent in the Spring","Agatha Christie","Golden Age of Detective Fiction","Tragedy",""
"http://dbpedia.org/resource/The_House_of_the_Dead_(novel)","The House of the Dead (novel)","Fyodor Dostoyevsky","Literary realism","Philosophical fiction",""
"http://dbpedia.org/resource/Moby-Dick","Moby-Dick","Herman Melville","Romanticism","Novel",""
"http://dbpedia.org/resource/The_King's_Last_Song","The King's Last Song","Geoff Ryman","Mundane science fiction","Novel",""
"http://dbpedia.org/resource/Dune_Messiah","Dune Messiah","Frank Herbert","New Wave science fiction","List of science fiction novels",""
"http://dbpedia.org/resource/Destination:_Void","Destination: Void","Frank Herbert","New Wave science fiction","List of science fiction novels",""
"http://dbpedia.org/resource/The_Dosadi_Experiment","The Dosadi Experiment","Frank Herbert","New Wave science fiction","List of science fiction novels",""
"http://dbpedia.org/resource/Whipping_Star","Whipping Star","Frank Herbert","New Wave science fiction","List of science fiction novels",""
"http://dbpedia.org/resource/The_Godmakers_(novel)","The Godmakers (novel)","Frank Herbert","New Wave science fiction","List of science fiction novels",""
"http://dbpedia.org/resource/Hellstrom's_Hive","Hellstrom's Hive","Frank Herbert","New Wave science fiction","List of science fiction novels",""
"http://dbpedia.org/resource/The_Ascension_Factor","The Ascension Factor","Frank Herbert","New Wave science fiction","List of science fiction novels",""
"http://dbpedia.org/resource/The_End_of_Eternity","The End of Eternity","Isaac Asimov","Golden Age of Science Fiction","List of science fiction novels",""
"http://dbpedia.org/resource/Slan","Slan","A. E. van Vogt","Golden Age of Science Fiction","List of science fiction novels",""
"http://dbpedia.org/resource/Battle-Pieces_and_Aspects_of_the_War","Battle-Pieces and Aspects of the War","Herman Melville","Romanticism","American poetry",""
"http://dbpedia.org/resource/Out_of_the_Unknown_(collection)","Out of the Unknown (collection)","A. E. van Vogt","Golden Age of Science Fiction","Fantasy",""
"http://dbpedia.org/resource/Beyond_the_Wall_of_Sleep_(collection)","Beyond the Wall of Sleep (collection)","H. P. Lovecraft","Cosmicism","Fantasy",""
"http://dbpedia.org/resource/The_Dream-Quest_of_Unknown_Kadath","The Dream-Quest of Unknown Kadath","H. P. Lovecraft","Cosmicism","Fantasy",""
"http://dbpedia.org/resource/Harrigan's_File","Harrigan's File","August Derleth","Cosmicism","Fantasy",""
"http://dbpedia.org/resource/Night's_Yawning_Peal:_A_Ghostly_Company","Night's Yawning Peal: A Ghostly Company","August Derleth","Cosmicism","Fantasy",""
"http://dbpedia.org/resource/Something_Near","Something Near","August Derleth","Cosmicism","Fantasy",""
"http://dbpedia.org/resource/Dark_of_the_Moon:_Poems_of_Fantasy_and_the_Macabre","Dark of the Moon: Poems of Fantasy and the Macabre","August Derleth","Cosmicism","Fantasy",""
"http://dbpedia.org/resource/The_Trail_of_Cthulhu","The Trail of Cthulhu","August Derleth","Cosmicism","Fantasy",""
"http://dbpedia.org/resource/Moby-Dick","Moby-Dick","Herman Melville","Romanticism","Adventure fiction",""
"http://dbpedia.org/resource/White-Jacket","White-Jacket","Herman Melville","Romanticism","Adventure fiction",""
"http://dbpedia.org/resource/Moby-Dick","Moby-Dick","Herman Melville","Romanticism","Nautical fiction",""
"http://dbpedia.org/resource/Understanding_Physics","Understanding Physics","Isaac Asimov","Golden Age of Science Fiction","Popular science",""
"http://dbpedia.org/resource/Death_Comes_as_the_End","Death Comes as the End","Agatha Christie","Golden Age of Detective Fiction","Historical mystery",""
"http://dbpedia.org/resource/Murder_on_the_Orient_Express","Murder on the Orient Express","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/Death_on_the_Nile","Death on the Nile","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/The_Clocks","The Clocks","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/The_Hollow","The Hollow","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/The_Pale_Horse","The Pale Horse","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/While_the_Light_Lasts_and_Other_Stories","While the Light Lasts and Other Stories","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/The_A.B.C._Murders","The A.B.C. Murders","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/Hallowe'en_Party","Hallowe'en Party","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/Why_Didn't_They_Ask_Evans%3F","Why Didn't They Ask Evans?","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/The_Murder_of_Roger_Ackroyd","The Murder of Roger Ackroyd","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/The_Seven_Dials_Mystery","The Seven Dials Mystery","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/At_Bertram's_Hotel","At Bertram's Hotel","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/Dead_Man's_Folly","Dead Man's Folly","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/Elephants_Can_Remember","Elephants Can Remember","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/The_Adventure_of_the_Christmas_Pudding","The Adventure of the Christmas Pudding","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/Cat_Among_the_Pigeons","Cat Among the Pigeons","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/Dumb_Witness","Dumb Witness","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/Endless_Night","Endless Night","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/Murder_Is_Easy","Murder Is Easy","Agatha Christie","Golden Age of Detective Fiction","Crime fiction",""
"http://dbpedia.org/resource/The_Curse_of_Lono","The Curse of Lono","Hunter S. Thompson","New Journalism","Memoir",""
"http://dbpedia.org/resource/The_Difference_Engine","The Difference Engine","Bruce Sterling","Cyberpunk","Alternate history",""
"http://dbpedia.org/resource/The_Difference_Engine","The Difference Engine","Bruce Sterling","Cyberpunk derivatives","Alternate history",""
"http://dbpedia.org/resource/The_Yage_Letters","The Yage Letters","Allen Ginsberg","Beat Generation","Autobiography",""
"http://dbpedia.org/resource/Mirrorshades","Mirrorshades","Bruce Sterling","Cyberpunk","Cyberpunk",""
"http://dbpedia.org/resource/Mirrorshades","Mirrorshades","Bruce Sterling","Cyberpunk derivatives","Cyberpunk",""
"http://dbpedia.org/resource/Poirot_Investigates","Poirot Investigates","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/Three_Blind_Mice_and_Other_Stories","Three Blind Mice and Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Witness_for_the_Prosecution_and_Other_Stories","The Witness for the Prosecution and Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Listerdale_Mystery","The Listerdale Mystery","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/Double_Sin_and_Other_Stories","Double Sin and Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/Miss_Marple's_Final_Cases_and_Two_Other_Stories","Miss Marple's Final Cases and Two Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Golden_Ball_and_Other_Stories","The Golden Ball and Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Thirteen_Problems","The Thirteen Problems","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Under_Dog_and_Other_Stories","The Under Dog and Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
